Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,3.4794499874115,3.4620099067688,2.60419988632202,3.45445990562439,3.69521999359131,3.2558000087738,4.54397010803223,4.34319019317627,..,..,..,..,..
Afghanistan,AFG,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,13.2609,12.56712,8.53024,11.32094,12.03027,10.29234,11.98575,11.3072,..,..,..,..,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,1.58730161190033,2.01005029678345,1.94174754619598,2.42718458175659,1.44927537441254,1.44927537441254,0.480769217014313,0.473933637142181,1.42180097103119,1.42180097103119,1.89573454856873,1.42180097103119,2.85714292526245,0.952380955219269,0.952380955219269,0.476190477609634,0.471698105335236,0.943396210670471,0.471698105335236,1.41509437561035,0.943396210670471
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.9412480133309,19.1600346409089,19.3993593959593,19.7059095753667,20.1104530189181,20.5906579215423,21.1241481349633,21.6885475109053,22.2614799010924,22.8205691572485,23.3434391310979,23.8077136743646,24.1910166387726,24.4649118421568,24.6588345720126,24.8352821238871,24.9991645191406,25.1437258839803,25.2622103446137,25.3478620272481,25.3939250580909
Afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,9.698486925384,9.79236030578613,..,11.7771822147423,..,..,11.8347043333891,9.46000003814697,12.5973300933838
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7228795918.92525,7867263256.28817,7978515641.58304,8874480195.58321,9349921885.77888,10642671963.1135,11060395115.6809,13426272073.2398,15354612541.5059,15420077665.5323,17386490239.3536,18360263162.7578,18860496494.0404,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388
Afghanistan,AFG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,33.7,..,..,..,38.3,..,..,..,..,54.5,..,..,47.1,..,..,..
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.11779999732971,3.13823008537292,3.22751998901367,3.28154993057251,3.1914598941803,3.27592992782593,..,..,..,3.17881310743026,3.29533986928598,3.53929996490479,3.18177734553254,3.43796992301941,3.96209001541138,3.61172008514404,3.08201370407389,3.87018990516663,3.325040102005,3.00555992126465,2.72976994514465
Albania,ALB,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,5.86682,..,6.78368,9.82258,7.97805,..,..,..,..,..
Albania,ALB,Gini index,SI.POV.GINI,31.7,..,..,30.6,..,..,30,..,..,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,33.862434387207,36.1809043884277,30.0970878601074,29.6116504669189,29.9516906738281,37.6811599731445,43.269229888916,42.1800956726074,38.3886260986328,37.4407577514648,40.2843589782715,49.2891006469727,61.4285697937012,58.0952377319336,57.6190490722656,59.523811340332,58.4905662536621,51.886791229248,50,52.3584899902344,49.5283012390137
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.1520419609419,44.0295089223208,44.9784925669394,45.9937666920583,47.0701050949378,48.2022815728384,49.3850699230207,50.6132439427449,51.8815774292716,53.2917382892465,53.8637553661449,54.2979678058548,54.7325813178673,55.1579291374894,55.5738734464276,55.980276426546,56.377000259892,56.7639071287255,57.1408592155544,57.5077187031778,57.8643477747383
Albania,ALB,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,39.913692520629,39.8899993896484,40.7168211248766,42.0615055762317,43.4900016784668,45.2799987792969,43.7557131852483,45.9827253915524,48.1863617042111,46.9844844692678,46.3533401489258,49.8858232395536,50.7128654950488,51.0498413335601,51.8425099304159,53.2684854264147
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7008501111.79519,7382282996.75923,7771053341.65332,8169772250.74253,8661509309.89701,9224515436.60112,9861658465.33864,10127011190.7491,10428102872.2706,10685000942.5337,10790155229.5092,10974367815.094,11220218560.8998,11470171826.9575,11918533446.9749,12309839868.7084,12761785703.1071,13025007474.8895,12593390460.142,13722964212.462,14385344334.623
Albania,ALB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,61,..,..,50,..,..,43.4,..,..,..,45.9,..,46.5,32.8,32.9,32.7,24.1,21.5,19.9,..,..
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,25.4,..,..,18.5,..,..,12.4,..,..,..,14.3,..,..,..,23.7,23.4,23,21.8,22,20.6,19.7
